編號,資料長度,來源MAC,目的地MAC,Eth類型,時間戳記,來源IP,目的地IP,來源端口,目的地端口,第三層協議,第四層協議,距離上一個封包的時間差(秒),1秒內取消驗證封包數,1秒內Data封包數,是否為Broadcast,是否為重傳封包,訊號強度差值,是否為dos
1,77,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:25.308940,10.30.1.140,120.117.2.2,50169,53,17,UDP,0,0,1,否,False,0,否
2,77,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:25.309117,10.30.1.140,120.117.2.2,60566,53,17,UDP,0.000177,0,2,否,False,0,否
3,127,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:25.312436,120.117.2.2,10.30.1.140,53,50169,17,UDP,0.003319,0,3,否,False,0,否
4,127,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:25.312436,120.117.2.2,10.30.1.140,53,60566,17,UDP,0.0,0,4,否,False,0,否
5,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:26.561064,10.30.1.140,20.24.121.134,65518,443,6,TCP,1.248628,1,0,否,False,0,否
6,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:30.807246,52.113.194.132,10.30.1.140,443,65514,6,TCP,4.246182,1,0,否,False,0,否
7,102,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:32.139339,38.96.206.64,10.30.1.140,80,49163,6,TCP,1.332093,0,1,否,False,0,否
8,66,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:32.139413,10.30.1.140,38.96.206.64,49163,80,6,TCP,7.4e-05,0,2,否,False,0,否
9,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:32.990234,10.30.1.140,35.186.224.25,65506,443,6,TCP,0.850821,0,3,否,False,0,否
10,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:32.990405,10.30.1.140,163.28.5.74,65507,443,6,TCP,0.000171,0,4,否,False,0,否
11,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:32.990487,10.30.1.140,163.28.5.74,65517,443,6,TCP,8.2e-05,0,5,否,False,0,否
12,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:33.003006,35.186.224.25,10.30.1.140,443,65506,6,TCP,0.012519,0,6,否,False,0,否
13,54,58:6c:25:8b:92:55,00:00:0c:07:ac:c9,0x800,2024-05-07 15:45:33.003074,10.30.1.140,35.186.224.25,65506,443,6,TCP,6.8e-05,0,7,否,False,0,否
14,78,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:33.083695,163.28.5.74,10.30.1.140,443,65517,6,TCP,0.080621,0,8,否,False,0,否
15,60,84:78:ac:10:21:43,58:6c:25:8b:92:55,0x800,2024-05-07 15:45:33.083695,163.28.5.74,10.30.1.140,443,65517,6,TCP,0.0,0,9,否,False,0,否
